,Restaurant Name,Category,Rating,Price,Address,Restaurant Detail Link
76,Carnis,Tenggilis Mejoyo | Kafe,4.02 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Raya Panjang Jiwo Permai No. 2B, Tenggilis Mejoyo, Surabaya",/restaurants/surabaya/carnis-tenggilis-mejoyo
77,Warung Leko,Manyar | Indonesia,4.02 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Manyar Kertoarjo V No. 9, Manyar, Surabaya",/restaurants/surabaya/warung-leko-manyar
78,Oh Gelato & Cafe,Gubeng | Es Krim,4.07 /5,Di bawah Rp. 50.000 /orang,"Jl. Kusuma Bangsa No. 1 - 3, Gubeng, Surabaya",/restaurants/surabaya/oh-gelato-dan-cafe-gubeng
79,Nasi Jagung Mas Ang,Sawahan | Indonesia,4.70 /5,Di bawah Rp. 50.000 /orang,"Jl. Petemon II No. 154, Sawahan, Surabaya",/restaurants/surabaya/nasi-jagung-mas-ang-sawahan
80,Toby's Estate,Wiyung | Kafe,4.70 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",/restaurants/surabaya/toby-s-estate-wiyung
81,Volks Coffee,Tegalsari | Kafe,4.08 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. M.H. Thamrin No. 34, Tegalsari, Surabaya",/restaurants/surabaya/volks-coffee-tegalsari
82,Layar Seafood,Manyar | Indonesia,4.17 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Manyar Kertoarjo No. 23 - 25, Manyar, Surabaya",/restaurants/surabaya/layar-seafood-manyar-2
83,De Soematra 1910,"Gubeng | Barat,Italia",4.46 /5,Di atas Rp. 200.000 /orang,"Jl. Sumatera No. 75, Gubeng, Surabaya",/restaurants/surabaya/de-soematra-1910-gubeng
84,Ejji Coffee Corner,Mulyorejo | Kafe,4.40 /5,Di bawah Rp. 50.000 /orang,"Jl. Kalisari Utara I, Mulyorejo, Surabaya",/restaurants/surabaya/ejji-coffee-corner-mulyorejo
85,My Story,Tegalsari | Kafe,4.11 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Pregolan No. 10, Tegalsari, Surabaya",/restaurants/surabaya/my-story-tegalsari
86,Fusia Rajanya Nasi Timbel,Tenggilis Mejoyo | Indonesia,4.25 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Kendangsari No. 60, Tenggilis Mejoyo, Surabaya",/restaurants/surabaya/fusia-rajanya-nasi-timbel-tenggilis-mejoyo
87,Common Grounds,Dukuh Pakis | Kafe,4.27 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Raya Golf Graha Famili Blok I, Dukuh Pakis, Surabaya",/restaurants/surabaya/common-grounds-dukuh-pakis
88,Nona Manis,Tegalsari | Indonesia,4.22 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",/restaurants/surabaya/nona-manis-tegalsari
89,Kultur Haus,Mulyorejo,4.08 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Kertajaya Indah No. 79, Mulyorejo, Surabaya",/restaurants/surabaya/kultur-haus-mulyorejo
90,Lekker Story,Wonocolo | Snack,4.48 /5,Di bawah Rp. 50.000 /orang,"Jl. Siwalankerto Timur No. 229, Wonocolo, Surabaya",/restaurants/surabaya/lekker-story-wonocolo
91,Bentoya,Gubeng | Jepang,4.17 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Gubeng Pojok No. 1, Gubeng, Surabaya",/restaurants/surabaya/bentoya-gubeng
92,Hanamasa,Gubeng | Jepang,4.31 /5,Di atas Rp. 200.000 /orang,"Jl. Gubeng Pojok No. 31, Gubeng, Surabaya",/restaurants/surabaya/hanamasa-gubeng
93,The Harvest,Wonokromo | Toko Kue,4.18 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Bengawan No. 39, Wonokromo, Surabaya",/restaurants/surabaya/the-harvest-wonokromo
94,Mitch & Elle,Dukuh Pakis,4.31 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Mayjend Yono Soewoyo No. 35, Dukuh Pakis, Surabaya",/restaurants/surabaya/mitch-dan-elle-dukuh-pakis
