,Restaurant Name,Category,Rating,Price,Address,Restaurant Detail Link
168,Kameyama,Dukuh Pakis | Kafe,4.14 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Darmo Permai III No. 88, Dukuh Pakis, Surabaya",/restaurants/surabaya/kameyama-dukuh-pakis-2
169,Ayam Keprabon Express,Sambikerep | Indonesia,4.67 /5,Di bawah Rp. 50.000 /orang,"Jl. Niaga Gapura, Sambikerep, Surabaya",/restaurants/surabaya/ayam-keprabon-express-sambikerep
170,Steak Hut,Dukuh Pakis | Barat,4.10 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Bukit Darmo Boulevard No. 8P, Dukuh Pakis, Surabaya",/restaurants/surabaya/steak-hut-dukuh-pakis
171,Nhu Nhu Lemongrass,Wiyung | Minuman,4.32 /5,Di bawah Rp. 50.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",/restaurants/surabaya/nhu-nhu-lemongrass-wiyung
172,Bon Ami Restaurant & Bakery,"Tegalsari | Indonesia,Barat,Toko Roti dan Kue",4.07 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Dr. Soetomo No. 94, Tegalsari, Surabaya",/restaurants/surabaya/bon-ami-restaurant-dan-bakery-tegalsari-2
173,Pangsit Tenda Biru,Kayoon | Indonesia,4.09 /5,Di bawah Rp. 50.000 /orang,"Jl. Kayoon No. 24, Kayoon, Surabaya",/restaurants/surabaya/pangsit-tenda-biru-kayoon
174,White House,Gubeng | Kafe,4.09 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Sulawesi No. 61, Gubeng, Surabaya",/restaurants/surabaya/white-house-gubeng
175,Daun Lada,Tegalsari | Indonesia,4.04 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",/restaurants/surabaya/daun-lada-tegalsari-2
176,Kebab Layali,Ampel | Arab/Timur Tengah,4.50 /5,Di bawah Rp. 50.000 /orang,"Jl. KH. Mas Mansyur No. 160, Ampel, Surabaya",/restaurants/surabaya/kebab-layali-ampel
177,Ikan Bakar Cianjur,Manyar | Indonesia,4.45 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Manyar Kertoarjo V No. 44 - 48, Manyar, Surabaya",/restaurants/surabaya/ikan-bakar-cianjur-manyar
178,Alltime Buns,Tegalsari | Barat,4.08 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Tunjungan No. 26, Tegalsari, Surabaya",/restaurants/surabaya/alltime-buns-tegalsari
179,Excelso,Tegalsari | Kafe,4.14 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",/restaurants/surabaya/excelso-tegalsari-4
180,Pizza Marzano,Wiyung | Italia,4.17 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",/restaurants/surabaya/pizza-marzano-wiyung
181,Ichiban Sushi,Tegalsari | Jepang,4.08 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",/restaurants/surabaya/ichiban-sushi-tegalsari
182,Burger King,Tenggilis Mejoyo | Barat,4.00 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Jemursari No. 260, Tenggilis Mejoyo, Surabaya",/restaurants/surabaya/burger-king-tenggilis-mejoyo
183,Cincau Station,Dukuh Pakis | Minuman,4.07 /5,Di bawah Rp. 50.000 /orang,"Jl. Mayjend Sungkono No. 87, Dukuh Pakis, Surabaya",/restaurants/surabaya/cincau-station-dukuh-pakis
184,Bubur Ayam Priangan Spensix,Gubeng | Indonesia,4.20 /5,Di bawah Rp. 50.000 /orang,"Jl. Raya Gubeng No. 66, Gubeng, Surabaya",/restaurants/surabaya/bubur-ayam-priangan-spensix-gubeng-2
185,Kokumi,Sambikerep | Kafe,4.02 /5,Di bawah Rp. 50.000 /orang,"Jl. Niaga Gapura, Sambikerep, Surabaya",/restaurants/surabaya/kokumi-sambikerep
186,X.O Suki,Tegalsari | China,4.24 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",/restaurants/surabaya/x-o-suki-tegalsari-2
187,Tana Toraja,Tegalsari | Kafe,4.10 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",/restaurants/surabaya/tana-toraja-tegalsari
188,Starbucks,Mulyorejo | Kafe,4.17 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Laguna KJW Putih Tambak, Mulyorejo, Surabaya",/restaurants/surabaya/starbucks-mulyorejo
189,Cincau Bistro,Wiyung | Minuman,4.04 /5,Di bawah Rp. 50.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",/restaurants/surabaya/cincau-bistro-wiyung
190,Boncafe,Dukuh Pakis | Barat,4.00 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Raya Kupang Indah No. 1, Dukuh Pakis, Surabaya",/restaurants/surabaya/boncafe-dukuh-pakis
191,Starbucks,Tegalsari | Kafe,4.04 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",/restaurants/surabaya/starbucks-tegalsari-2
192,Martabak Mafia,Dukuh Pakis | Indonesia,4.53 /5,Di bawah Rp. 50.000 /orang,"Jl. Mayjend Yono Soewoyo, Dukuh Pakis, Surabaya",/restaurants/surabaya/martabak-mafia-dukuh-pakis
193,Texas Chicken,Wiyung,4.07 /5,Di bawah Rp. 50.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",/restaurants/surabaya/texas-chicken-wiyung-3
194,Bima Chinese Cuisine,Manyar | China,4.14 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Manyar Kertoarjo No. 77, Manyar, Surabaya",/restaurants/surabaya/bima-chinese-cuisine-manyar
195,Baskin Robbins,Tegalsari | Es Krim,4.60 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",/restaurants/surabaya/baskin-robbins-tegalsari
196,Pizza Hut Delivery (PHD),Tegalsari,4.02 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Kedungdoro No. 201A, Tegalsari, Surabaya",/restaurants/surabaya/pizza-hut-delivery-phd-tegalsari
197,Geprek 100,Dukuh Pakis | Indonesia,5.00 /5,Di bawah Rp. 50.000 /orang,"Jl. Mayjend Yono Soewoyo, Dukuh Pakis, Surabaya",/restaurants/surabaya/geprek-100-dukuh-pakis
198,Es Kacang Ijo Abunawas,Tambaksari | Dessert,5.00 /5,Di bawah Rp. 50.000 /orang,"Jl. Dukuh Setro I No. 1, Tambaksari, Surabaya",/restaurants/surabaya/es-kacang-ijo-abunawas-tambaksari
199,Bless Bakery,Rungkut | Toko Roti dan Kue,5.00 /5,Di bawah Rp. 50.000 /orang,"Jl. Rungkut Mapan Blok FA No. 1, Rungkut, Surabaya",/restaurants/surabaya/bless-bakery-rungkut
200,Moi Garden,Manyar | China,5.00 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Manyar Kertoarjo V No. 54 - 56, Manyar, Surabaya",/restaurants/surabaya/moi-garden-manyar
201,Tong Tji Tea House,Tegalsari | Indonesia,4.17 /5,Di bawah Rp. 50.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",/restaurants/surabaya/tong-tji-tea-house-tegalsari
202,Rawon Bumas Pecel Tumpang,Dukuh Pakis | Indonesia,5.00 /5,Di bawah Rp. 50.000 /orang,"Jl. Villa Bukit Mas, Dukuh Pakis, Surabaya",/restaurants/surabaya/rawon-bumas-pecel-tumpang-dukuh-pakis
203,Warung M. Nasir,Ampel | Indonesia,5.00 /5,Di bawah Rp. 50.000 /orang,"Jl. KH. Mas Mansyur, Ampel, Surabaya",/restaurants/surabaya/warung-m-nasir-ampel
204,Brassery,Gubeng | Kafe,4.11 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Raya Gubeng No. 58, Gubeng, Surabaya",/restaurants/surabaya/brassery-gubeng
205,Bakwan P. Iwan Trunojoyo,Sawahan | Indonesia,4.09 /5,Di bawah Rp. 50.000 /orang,"Jl. Arjuno No. 122, Sawahan, Surabaya",/restaurants/surabaya/bakwan-p-iwan-trunojoyo-sawahan-2
206,Tous Les Jours,Wiyung | Toko Roti dan Kue,4.14 /5,Di bawah Rp. 50.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",/restaurants/surabaya/tous-les-jours-wiyung
207,Kopi Soe,Sambikerep | Kafe,4.24 /5,Di bawah Rp. 50.000 /orang,"Jl. Niaga Gapura, Sambikerep, Surabaya",/restaurants/surabaya/kopi-soe-sambikerep
208,White Cone,Tegalsari | Es Krim,4.04 /5,Di bawah Rp. 50.000 /orang,"Jl. Basuki Rahmat, Tegalsari, Surabaya",/restaurants/surabaya/white-cone-tegalsari
209,Pizza Hut,Tenggilis Mejoyo,4.05 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Jemursari No. 136, Tenggilis Mejoyo, Surabaya",/restaurants/surabaya/pizza-hut-tenggilis-mejoyo
210,Ropopang,Mulyorejo | Indonesia,4.35 /5,Di bawah Rp. 50.000 /orang,"Jl. Dharmahusada Indah Blok F No. 223, Mulyorejo, Surabaya",/restaurants/surabaya/ropopang-mulyorejo
211,ah-miong,Sambikerep | Kafe,4.53 /5,Di bawah Rp. 50.000 /orang,"Jl. Niaga Gapura, Sambikerep, Surabaya",/restaurants/surabaya/ah-miong-sambikerep
212,The Cafe - Java Paragon Hotel,"Dukuh Pakis | Indonesia, Barat",4.53 /5,Di atas Rp. 200.000 /orang,"Jl. Mayjen Sungkono No. 101 - 103, Dukuh Pakis, Surabaya",/restaurants/surabaya/the-cafe-java-paragon-hotel-dukuh-pakis
213,Bubur Ayam Jakarta Mang Endut,Tegalsari | Indonesia,4.05 /5,Di bawah Rp. 50.000 /orang,"Jl. Kedungsari No. 34, Tegalsari, Surabaya",/restaurants/surabaya/bubur-ayam-jakarta-mang-endut-tegalsari
214,Mashu,Wonokromo | Jepang,4.00 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Musi No. 35, Wonokromo, Surabaya",/restaurants/surabaya/mashu-wonokromo
215,Republika Cafe & Resto,Rungkut | Kafe,4.20 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Dr. Ir. H. Soekarno No. 338, Rungkut, Surabaya",/restaurants/surabaya/republika-cafe-dan-resto-rungkut
216,Kedai Ketan Punel,Wonokromo | Indonesia,4.13 /5,Di bawah Rp. 50.000 /orang,"Jl. Raya Darmo No. 116, Wonokromo, Surabaya",/restaurants/surabaya/kedai-ketan-punel-wonokromo
217,Tosca,Gubeng | Kafe,4.14 /5,Di bawah Rp. 50.000 /orang,"Jl. Gubeng Kertajaya V C No. 56, Gubeng, Surabaya",/restaurants/surabaya/tosca-gubeng
218,Warung Bule,Sambikerep | Kafe,4.14 /5,Di bawah Rp. 50.000 /orang,"Jl. Niaga Gapura, Sambikerep, Surabaya",/restaurants/surabaya/warung-bule-sambikerep
219,Genki Sushi,Wiyung | Jepang,4.35 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",/restaurants/surabaya/genki-sushi-wiyung
220,Velluto Gelato,Wiyung | Es Krim,4.35 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",/restaurants/surabaya/velluto-gelato-wiyung
221,Sendoki,Gubeng | Jepang,4.60 /5,Di bawah Rp. 50.000 /orang,"Jl. Dharmahusada I No. 25B, Gubeng, Surabaya",/restaurants/surabaya/sendoki-gubeng
222,Mama Noi,Sambikerep | Thailand,4.02 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Puri Widya Kencana Blok K2 No. 1, Sambikerep, Surabaya",/restaurants/surabaya/mama-noi-sambikerep
223,Kober Mie Setan,Lakarsantri | Indonesia,4.10 /5,Di bawah Rp. 50.000 /orang,"Jl. Sepat Lidah Kulon No. 19 - 21, Lakarsantri, Surabaya",/restaurants/surabaya/kober-mie-setan-lakarsantri
224,Wok 'N' Tok - Yello Hotel Jemursari Surabaya,Tenggilis Mejoyo | Kafe,4.24 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Jemursari No. 176, Tenggilis Mejoyo, Surabaya",/restaurants/surabaya/wok-n-tok-yello-hotel-jemursari-surabaya-tenggilis-mejoyo
225,Lapis Kukus Pahlawan,Wonokromo | Toko Kue,4.16 /5,Di bawah Rp. 50.000 /orang,"Jl. Jagir Wonokromo No. 110, Wonokromo, Surabaya",/restaurants/surabaya/lapis-kukus-pahlawan-wonokromo
226,Kolokial,Ngagel | Kafe,4.40 /5,Di bawah Rp. 50.000 /orang,"Jl. Karimata No. 6, Ngagel, Surabaya",/restaurants/surabaya/kolokial-ngagel
227,Ayam Geprek Kak Rose,Semolowaru | Indonesia,4.53 /5,Di bawah Rp. 50.000 /orang,"Jl. Nginden Semolo, Semolowaru, Surabaya",/restaurants/surabaya/ayam-geprek-kak-rose-semolowaru
228,Afterwork Caffeine,Sambikerep | Kafe,4.53 /5,Di bawah Rp. 50.000 /orang,"Jl. Niaga Gapura, Sambikerep, Surabaya",/restaurants/surabaya/afterwork-caffeine-sambikerep
229,Marugame Udon,Mulyorejo | Jepang,4.07 /5,Di bawah Rp. 50.000 /orang,"Jl. Dharmahusada Indah Timur No. 35 - 37, Mulyorejo, Surabaya",/restaurants/surabaya/marugame-udon-mulyorejo
230,Dong Bei Yi Jia Ren,Dukuh Pakis | China,4.16 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Kupang Indah No. 45A, Dukuh Pakis, Surabaya",/restaurants/surabaya/dong-bei-yi-jia-ren-dukuh-pakis
231,Dunkin' Donuts,Ngagel | Donat,4.00 /5,Di bawah Rp. 50.000 /orang,"Jl. Ngagel Jaya Selatan, Ngagel, Surabaya",/restaurants/surabaya/dunkin-donuts-ngagel
232,Takko,Mulyorejo | China,4.07 /5,Di bawah Rp. 50.000 /orang,"Jl. Raya Laguna KJW Putih Tambak, Mulyorejo, Surabaya",/restaurants/surabaya/takko-mulyorejo
233,Kopi Kenangan,Manyar | Kafe,4.24 /5,Di bawah Rp. 50.000 /orang,"Jl. Manyar Kertoarjo No. 26, Manyar, Surabaya",/restaurants/surabaya/kopi-kenangan-manyar
234,Ikan Bakar Cianjur,Tegalsari | Indonesia,4.08 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Tegalsari No. 52, Tegalsari, Surabaya",/restaurants/surabaya/ikan-bakar-cianjur-tegalsari
235,Kintan Buffet,Wiyung | Jepang,4.05 /5,Di atas Rp. 200.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",/restaurants/surabaya/kintan-buffet-wiyung
236,Bon Ami Restaurant & Bakery,"Tegalsari | Indonesia,Barat,Toko Roti dan Kue",4.11 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Kombes Pol. M. Duryat No. 27, Tegalsari, Surabaya",/restaurants/surabaya/bon-ami-restaurant-dan-bakery-tegalsari
237,Foresee By Angies,Kayoon | Kafe,4.07 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Kayoon No. 62, Kayoon, Surabaya",/restaurants/surabaya/foresee-by-angies-kayoon
238,Bakso Beranak Pak Sarjuk,Ngagel | Indonesia,4.53 /5,Di bawah Rp. 50.000 /orang,"Jl. Ngagel Jaya Selatan No. 81, Ngagel, Surabaya",/restaurants/surabaya/bakso-beranak-pak-sarjuk-ngagel
239,Kimukatsu,Mulyorejo | Jepang,4.30 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Laguna KJW Putih Tambak, Mulyorejo, Surabaya",/restaurants/surabaya/kimukatsu-mulyorejo-2
240,Okinawa Sushi,Wiyung | Jepang,4.16 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",/restaurants/surabaya/okinawa-sushi-wiyung
241,Confit,Tegalsari | Barat,4.13 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. R.A Kartini No. 69, Tegalsari, Surabaya",/restaurants/surabaya/confit-tegalsari
242,United Steaks,Mulyorejo | Barat,4.05 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Kalisari Utara I, Mulyorejo, Surabaya",/restaurants/surabaya/united-steaks-mulyorejo-2
243,Chatime,Dukuh Pakis | Bubble Tea,4.09 /5,Di bawah Rp. 50.000 /orang,"Jl. Mayjend Sungkono No. 87, Dukuh Pakis, Surabaya",/restaurants/surabaya/chatime-dukuh-pakis
244,Haewoo Bakery & Coffee,Mulyorejo | Korea,4.53 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Dharmahusada Indah No. 45, Mulyorejo, Surabaya",/restaurants/surabaya/haewoo-bakery-dan-coffee-mulyorejo
245,Kimukatsu,Mulyorejo | Jepang,4.30 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Laguna KJW Putih Tambak, Mulyorejo, Surabaya",/restaurants/surabaya/kimukatsu-mulyorejo-2
246,Okinawa Sushi,Wiyung | Jepang,4.16 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",/restaurants/surabaya/okinawa-sushi-wiyung
247,Confit,Tegalsari | Barat,4.13 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. R.A Kartini No. 69, Tegalsari, Surabaya",/restaurants/surabaya/confit-tegalsari
248,United Steaks,Mulyorejo | Barat,4.05 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Kalisari Utara I, Mulyorejo, Surabaya",/restaurants/surabaya/united-steaks-mulyorejo-2
249,Chatime,Dukuh Pakis | Bubble Tea,4.09 /5,Di bawah Rp. 50.000 /orang,"Jl. Mayjend Sungkono No. 87, Dukuh Pakis, Surabaya",/restaurants/surabaya/chatime-dukuh-pakis
250,Haewoo Bakery & Coffee,Mulyorejo | Korea,4.53 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Dharmahusada Indah No. 45, Mulyorejo, Surabaya",/restaurants/surabaya/haewoo-bakery-dan-coffee-mulyorejo
251,La Kwok,Dukuh Pakis | China,4.03 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Villa Bukit Mas, Dukuh Pakis, Surabaya",/restaurants/surabaya/la-kwok-dukuh-pakis
252,Depot Tjwan Fey,Tandes | Indonesia,4.47 /5,Di bawah Rp. 50.000 /orang,"Jl. Darmo Indah Barat Blok LL No. 8, Tandes, Surabaya",/restaurants/surabaya/depot-tjwan-fey-tandes
253,Sari Laut Kapasan,Rungkut | Indonesia,4.09 /5,Di bawah Rp. 50.000 /orang,"Jl. Rungkut Madya No. 69, Rungkut, Surabaya",/restaurants/surabaya/sari-laut-kapasan-rungkut
254,Libby Brownies,Sukomanunggal | Kafe,4.14 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Sukomanunggal No. 96, Sukomanunggal, Surabaya",/restaurants/surabaya/libby-brownies-sukomanunggal
255,Richeese Factory,Wonokromo,4.20 /5,Di bawah Rp. 50.000 /orang,"Jl. Adityawarman No. 65, Wonokromo, Surabaya",/restaurants/surabaya/richeese-factory-wonokromo-2
256,Tea Break,Gayungan | Minuman,4.13 /5,Di bawah Rp. 50.000 /orang,"Jl. Jend. A. Yani No. 288, Gayungan, Surabaya",/restaurants/surabaya/tea-break-gayungan
257,Dapur Cokelat,Wonocolo | Toko Kue,4.53 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Jemursari No. 317, Wonocolo, Surabaya",/restaurants/surabaya/dapur-cokelat-wonocolo
258,La Kwok,Dukuh Pakis | China,4.03 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Villa Bukit Mas, Dukuh Pakis, Surabaya",/restaurants/surabaya/la-kwok-dukuh-pakis
259,Depot Tjwan Fey,Tandes | Indonesia,4.47 /5,Di bawah Rp. 50.000 /orang,"Jl. Darmo Indah Barat Blok LL No. 8, Tandes, Surabaya",/restaurants/surabaya/depot-tjwan-fey-tandes
260,Sari Laut Kapasan,Rungkut | Indonesia,4.09 /5,Di bawah Rp. 50.000 /orang,"Jl. Rungkut Madya No. 69, Rungkut, Surabaya",/restaurants/surabaya/sari-laut-kapasan-rungkut
261,Libby Brownies,Sukomanunggal | Kafe,4.14 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Sukomanunggal No. 96, Sukomanunggal, Surabaya",/restaurants/surabaya/libby-brownies-sukomanunggal
262,Richeese Factory,Wonokromo,4.20 /5,Di bawah Rp. 50.000 /orang,"Jl. Adityawarman No. 65, Wonokromo, Surabaya",/restaurants/surabaya/richeese-factory-wonokromo-2
263,Tea Break,Gayungan | Minuman,4.13 /5,Di bawah Rp. 50.000 /orang,"Jl. Jend. A. Yani No. 288, Gayungan, Surabaya",/restaurants/surabaya/tea-break-gayungan
264,Dapur Cokelat,Wonocolo | Toko Kue,4.53 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Jemursari No. 317, Wonocolo, Surabaya",/restaurants/surabaya/dapur-cokelat-wonocolo
265,Warung Larris,Dukuh Pakis | China,4.00 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Darmo Permai Selatan, Dukuh Pakis, Surabaya",/restaurants/surabaya/warung-larris-dukuh-pakis
266,Cincau Station,Wonokromo | Minuman,4.00 /5,Di bawah Rp. 50.000 /orang,"Jl. Jend. A. Yani No. 16 - 18, Wonokromo, Surabaya",/restaurants/surabaya/cincau-station-wonokromo
267,Myoung Ga,Dukuh Pakis | Korea,4.20 /5,Di bawah Rp. 50.000 /orang,"Jl. HR Muhammad No. 181, Dukuh Pakis, Surabaya",/restaurants/surabaya/myoung-ga-dukuh-pakis-2
268,BurgerUP,Dukuh Pakis | Barat,4.20 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Mayjend Yono Soewoyo, Dukuh Pakis, Surabaya",/restaurants/surabaya/burgerup-dukuh-pakis
269,Warung Larris,Dukuh Pakis | China,4.00 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Darmo Permai Selatan, Dukuh Pakis, Surabaya",/restaurants/surabaya/warung-larris-dukuh-pakis
270,Cincau Station,Wonokromo | Minuman,4.00 /5,Di bawah Rp. 50.000 /orang,"Jl. Jend. A. Yani No. 16 - 18, Wonokromo, Surabaya",/restaurants/surabaya/cincau-station-wonokromo
271,Myoung Ga,Dukuh Pakis | Korea,4.20 /5,Di bawah Rp. 50.000 /orang,"Jl. HR Muhammad No. 181, Dukuh Pakis, Surabaya",/restaurants/surabaya/myoung-ga-dukuh-pakis-2
272,BurgerUP,Dukuh Pakis | Barat,4.20 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Mayjend Yono Soewoyo, Dukuh Pakis, Surabaya",/restaurants/surabaya/burgerup-dukuh-pakis
273,OKUI,Ngagel | Kafe,4.28 /5,Di bawah Rp. 50.000 /orang,"Jl. Bawean No. 37, Ngagel, Surabaya",/restaurants/surabaya/okui-ngagel
274,Old Wood Bistro & Bar,Gubeng | Italia,4.13 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Nias No. 98, Gubeng, Surabaya",/restaurants/surabaya/old-wood-bistro-dan-bar-gubeng
275,Jack & John,Mulyorejo | Indonesia,4.13 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Laguna KJW Putih Tambak, Mulyorejo, Surabaya",/restaurants/surabaya/jack-dan-john-mulyorejo
276,Alura,Lakarsantri | Kafe,4.30 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Villa Taman Telaga Blok TJ8 No. 8, Lakarsantri, Surabaya",/restaurants/surabaya/alura-lakarsantri
277,Lontong Mie Babah Hoi,Tambaksari | Indonesia,4.40 /5,Di bawah Rp. 50.000 /orang,"Jl. Kapas Krampung No. 124H (Belakang BCA), Tambaksari, Surabaya",/restaurants/surabaya/lontong-mie-babah-hoi-tambaksari
278,Pho Ba Ba,Mulyorejo | Vietnam,4.10 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Dharmahusada Indah Timur No. 35 - 37, Mulyorejo, Surabaya",/restaurants/surabaya/pho-ba-ba-mulyorejo
279,Ejji Coffee Corner,Sambikerep | Kafe,4.12 /5,Di bawah Rp. 50.000 /orang,"Jl. Simpang Darmo Permai Utara No. 26, Sambikerep, Surabaya",/restaurants/surabaya/ejji-coffee-corner-sambikerep
280,Go Brothers,Dukuh Pakis | Indonesia,4.06 /5,Di bawah Rp. 50.000 /orang,"Jl. Raya Darmo Permai I No. 38, Dukuh Pakis, Surabaya",/restaurants/surabaya/go-brothers-dukuh-pakis
281,Sambal Bakar Indonesia,Sambikerep | Indonesia,4.16 /5,Di bawah Rp. 50.000 /orang,"Jl. Niaga Gapura, Sambikerep, Surabaya",/restaurants/surabaya/sambal-bakar-indonesia-sambikerep
282,The Grill Factory,Dukuh Pakis | Barat,4.90 /5,Di bawah Rp. 50.000 /orang,"Jl. Mayjen Yono Soewoyo, Dukuh Pakis, Surabaya",/restaurants/surabaya/the-grill-factory-dukuh-pakis
283,HokBen (Hoka Hoka Bento),Mulyorejo,4.10 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Dharmahusada Indah Timur No. 35 - 37, Mulyorejo, Surabaya",/restaurants/surabaya/hokben-hoka-hoka-bento-mulyorejo
284,Hacienda,Tegalsari | Meksiko,4.13 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",/restaurants/surabaya/hacienda-tegalsari
285,Agung Bakso Reog,Rungkut | Indonesia,4.25 /5,Di bawah Rp. 50.000 /orang,"Jl. Penjaringan Timur No. 22, Rungkut, Surabaya",/restaurants/surabaya/agung-bakso-reog-rungkut
286,Cheskee Go,Klampis | Minuman,4.24 /5,Di bawah Rp. 50.000 /orang,"Jl. Klampis Jaya No. 1, Klampis, Surabaya",/restaurants/surabaya/cheskee-go-klampis
287,Ayam Goreng Asli Pemuda,Sawahan | Indonesia,4.30 /5,Di bawah Rp. 50.000 /orang,"Jl. Tidar No. 21, Sawahan, Surabaya",/restaurants/surabaya/ayam-goreng-asli-pemuda-sawahan
288,Tokyo Resto,Gubeng | China,4.47 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Nginden No. 74, Gubeng, Surabaya",/restaurants/surabaya/tokyo-resto-gubeng-2
289,Gyu Kaku,Wiyung | Jepang,4.10 /5,Di atas Rp. 200.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",/restaurants/surabaya/gyu-kaku-wiyung
290,Peco Peco Sushi,Gubeng | Jepang,4.02 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Gubeng Pojok No. 1, Gubeng, Surabaya",/restaurants/surabaya/peco-peco-sushi-gubeng
291,MIKOPI,Gubeng | Kafe,4.16 /5,Di bawah Rp. 50.000 /orang,"Jl. Dharmahusada No. 108, Gubeng, Surabaya",/restaurants/surabaya/mikopi-gubeng
292,Bakso Son9o,Sambikerep | Indonesia,4.28 /5,Di bawah Rp. 50.000 /orang,"Jl. Taman Gapura Blok F2 No. 9, Sambikerep, Surabaya",/restaurants/surabaya/bakso-son9o-sambikerep
