,Restaurant Name,Category,Rating,Price Range,Address,Restaurant Detail Link,District
219,Genki Sushi, Jepang,4.35,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/genki-sushi-wiyung,Wiyung
220,Velluto Gelato, Es Krim,4.35,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/velluto-gelato-wiyung,Wiyung
221,Sendoki, Jepang,4.6,Di bawah Rp. 50.000 /orang,"Jl. Dharmahusada I No. 25B, Gubeng, Surabaya",https://pergikuliner.com/restaurants/surabaya/sendoki-gubeng,Gubeng
222,Mama Noi, Thailand,4.02,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Puri Widya Kencana Blok K2 No. 1, Sambikerep, Surabaya",https://pergikuliner.com/restaurants/surabaya/mama-noi-sambikerep,Sambikerep
223,Kober Mie Setan, Indonesia,4.1,Di bawah Rp. 50.000 /orang,"Jl. Sepat Lidah Kulon No. 19 - 21, Lakarsantri, Surabaya",https://pergikuliner.com/restaurants/surabaya/kober-mie-setan-lakarsantri,Lakarsantri
224,Wok 'N' Tok - Yello Hotel Jemursari Surabaya, Kafe,4.24,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Jemursari No. 176, Tenggilis Mejoyo, Surabaya",https://pergikuliner.com/restaurants/surabaya/wok-n-tok-yello-hotel-jemursari-surabaya-tenggilis-mejoyo,Tenggilis Mejoyo
225,Lapis Kukus Pahlawan, Toko Kue,4.16,Di bawah Rp. 50.000 /orang,"Jl. Jagir Wonokromo No. 110, Wonokromo, Surabaya",https://pergikuliner.com/restaurants/surabaya/lapis-kukus-pahlawan-wonokromo,Wonokromo
226,Kolokial, Kafe,4.4,Di bawah Rp. 50.000 /orang,"Jl. Karimata No. 6, Ngagel, Surabaya",https://pergikuliner.com/restaurants/surabaya/kolokial-ngagel,Ngagel
227,Ayam Geprek Kak Rose, Indonesia,4.53,Di bawah Rp. 50.000 /orang,"Jl. Nginden Semolo, Semolowaru, Surabaya",https://pergikuliner.com/restaurants/surabaya/ayam-geprek-kak-rose-semolowaru,Semolowaru
228,Afterwork Caffeine, Kafe,4.53,Di bawah Rp. 50.000 /orang,"Jl. Niaga Gapura, Sambikerep, Surabaya",https://pergikuliner.com/restaurants/surabaya/afterwork-caffeine-sambikerep,Sambikerep
229,Marugame Udon, Jepang,4.07,Di bawah Rp. 50.000 /orang,"Jl. Dharmahusada Indah Timur No. 35 - 37, Mulyorejo, Surabaya",https://pergikuliner.com/restaurants/surabaya/marugame-udon-mulyorejo,Mulyorejo
230,Dong Bei Yi Jia Ren, China,4.16,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Kupang Indah No. 45A, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/dong-bei-yi-jia-ren-dukuh-pakis,Dukuh Pakis
231,Dunkin' Donuts, Donat,4.0,Di bawah Rp. 50.000 /orang,"Jl. Ngagel Jaya Selatan, Ngagel, Surabaya",https://pergikuliner.com/restaurants/surabaya/dunkin-donuts-ngagel,Ngagel
232,Takko, China,4.07,Di bawah Rp. 50.000 /orang,"Jl. Raya Laguna KJW Putih Tambak, Mulyorejo, Surabaya",https://pergikuliner.com/restaurants/surabaya/takko-mulyorejo,Mulyorejo
233,Kopi Kenangan, Kafe,4.24,Di bawah Rp. 50.000 /orang,"Jl. Manyar Kertoarjo No. 26, Manyar, Surabaya",https://pergikuliner.com/restaurants/surabaya/kopi-kenangan-manyar,Manyar
234,Ikan Bakar Cianjur, Indonesia,4.08,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Tegalsari No. 52, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/ikan-bakar-cianjur-tegalsari,Tegalsari
235,Kintan Buffet, Jepang,4.05,Di atas Rp. 200.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/kintan-buffet-wiyung,Wiyung
236,Bon Ami Restaurant & Bakery," Indonesia,Barat,Toko Roti dan Kue",4.11,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Kombes Pol. M. Duryat No. 27, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/bon-ami-restaurant-dan-bakery-tegalsari,Tegalsari
237,Foresee By Angies, Kafe,4.07,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Kayoon No. 62, Kayoon, Surabaya",https://pergikuliner.com/restaurants/surabaya/foresee-by-angies-kayoon,Kayoon
238,Bakso Beranak Pak Sarjuk, Indonesia,4.53,Di bawah Rp. 50.000 /orang,"Jl. Ngagel Jaya Selatan No. 81, Ngagel, Surabaya",https://pergikuliner.com/restaurants/surabaya/bakso-beranak-pak-sarjuk-ngagel,Ngagel
239,Kimukatsu, Jepang,4.3,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Laguna KJW Putih Tambak, Mulyorejo, Surabaya",https://pergikuliner.com/restaurants/surabaya/kimukatsu-mulyorejo-2,Mulyorejo
240,Okinawa Sushi, Jepang,4.16,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/okinawa-sushi-wiyung,Wiyung
241,Confit, Barat,4.13,Rp. 100.000 - Rp. 200.000 /orang,"Jl. R.A Kartini No. 69, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/confit-tegalsari,Tegalsari
242,United Steaks, Barat,4.05,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Kalisari Utara I, Mulyorejo, Surabaya",https://pergikuliner.com/restaurants/surabaya/united-steaks-mulyorejo-2,Mulyorejo
243,Chatime, Bubble Tea,4.09,Di bawah Rp. 50.000 /orang,"Jl. Mayjend Sungkono No. 87, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/chatime-dukuh-pakis,Dukuh Pakis
244,Haewoo Bakery & Coffee, Korea,4.53,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Dharmahusada Indah No. 45, Mulyorejo, Surabaya",https://pergikuliner.com/restaurants/surabaya/haewoo-bakery-dan-coffee-mulyorejo,Mulyorejo
251,La Kwok, China,4.03,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Villa Bukit Mas, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/la-kwok-dukuh-pakis,Dukuh Pakis
252,Depot Tjwan Fey, Indonesia,4.47,Di bawah Rp. 50.000 /orang,"Jl. Darmo Indah Barat Blok LL No. 8, Tandes, Surabaya",https://pergikuliner.com/restaurants/surabaya/depot-tjwan-fey-tandes,Tandes
253,Sari Laut Kapasan, Indonesia,4.09,Di bawah Rp. 50.000 /orang,"Jl. Rungkut Madya No. 69, Rungkut, Surabaya",https://pergikuliner.com/restaurants/surabaya/sari-laut-kapasan-rungkut,Rungkut
