,Restaurant Name,Category,Rating,Price Range,Address,Restaurant Detail Link,District
312,Tokyo Belly, Jepang,4.2,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/tokyo-belly-wiyung,Wiyung
313,Lisa's Kitchen - Hotel Ayola La Lisa, Indonesia,4.16,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Raya Nginden No. 82, Gubeng, Surabaya",https://pergikuliner.com/restaurants/surabaya/lisa-s-kitchen-hotel-ayola-la-lisa-gubeng,Gubeng
314,Sushi Tei, Jepang,4.25,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Gubeng Pojok No. 1, Gubeng, Surabaya",https://pergikuliner.com/restaurants/surabaya/sushi-tei-gubeng,Gubeng
315,Rahasia Art Space & Eatery, Kafe,4.8,Di bawah Rp. 50.000 /orang,"Jl. Pandugo Timur I, Rungkut, Surabaya",https://pergikuliner.com/restaurants/surabaya/rahasia-art-space-dan-eatery-rungkut,Rungkut
316,Shao Kao, China,4.03,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Kertajaya Indah No. 57, Kertajaya, Surabaya",https://pergikuliner.com/restaurants/surabaya/shao-kao-kertajaya,Kertajaya
317,Sate Pak Mat Jami'i, Indonesia,4.07,Di bawah Rp. 50.000 /orang,"Jl. Raya Menur No. 2C, Gubeng, Surabaya",https://pergikuliner.com/restaurants/surabaya/sate-pak-mat-jami-i-gubeng,Gubeng
318,Bon Ami Bakery, Toko Roti dan Kue,4.8,Di bawah Rp. 50.000 /orang,"Jl. Telaga Golf Road No. 47, Lakarsantri, Surabaya",https://pergikuliner.com/restaurants/surabaya/bon-ami-bakery-lakarsantri,Lakarsantri
319,Bakmie MG Express, Indonesia,4.16,Di bawah Rp. 50.000 /orang,"Jl. Raya Tenggilis Mejoyo No. 114B, Tenggilis Mejoyo, Surabaya",https://pergikuliner.com/restaurants/surabaya/bakmie-mg-express-tenggilis-mejoyo,Tenggilis Mejoyo
320,Depot Mie 55, Indonesia,4.16,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Menanggal V No. 6, Gayungan, Surabaya",https://pergikuliner.com/restaurants/surabaya/depot-mie-55-gayungan,Gayungan
321,Coffee Toffee, Kafe,4.3,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Dharmawangsa No. 1, Gubeng, Surabaya",https://pergikuliner.com/restaurants/surabaya/coffee-toffee-gubeng,Gubeng
322,Sop Ayam Pak Min Klaten, Indonesia,4.25,Di bawah Rp. 50.000 /orang,"Jl. Dr. Ir. H. Soekarno No. 8, Mulyorejo, Surabaya",https://pergikuliner.com/restaurants/surabaya/sop-ayam-pak-min-klaten-mulyorejo,Mulyorejo
323,Karmen's Eve Coffee & Snack, Kafe,4.47,Di bawah Rp. 50.000 /orang,"Jl. Karang Menjangan V No. 8, Gubeng, Surabaya",https://pergikuliner.com/restaurants/surabaya/karmen-s-eve-coffee-dan-snack-gubeng,Gubeng
324,Kakkoii, Jepang,4.47,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Manyar Kertoarjo No. 110, Manyar, Surabaya",https://pergikuliner.com/restaurants/surabaya/kakkoii-manyar,Manyar
325,Tom Sushi, Jepang,4.47,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/tom-sushi-tegalsari,Tegalsari
326,My Kopi-O!, Kafe,4.07,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/my-kopi-o-wiyung,Wiyung
327,Cincau Station, Minuman,4.33,Di bawah Rp. 50.000 /orang,"Jl. Raya Kalirungkut No. 25, Rungkut, Surabaya",https://pergikuliner.com/restaurants/surabaya/cincau-station-rungkut,Rungkut
328,Mister Donut, Donat,4.0,Di bawah Rp. 50.000 /orang,"Jl. Mayjend Sungkono No. 87, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/mister-donut-dukuh-pakis,Dukuh Pakis
329,Excelso, Kafe,4.03,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Jend. A. Yani No. 72 - 74, Gayungan, Surabaya",https://pergikuliner.com/restaurants/surabaya/excelso-gayungan,Gayungan
330,The Gentlepig, Barat,4.2,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Mayjend Yono Soewoyo, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/the-gentlepig-dukuh-pakis,Dukuh Pakis
331,GH Corner, Arab/Timur Tengah,4.2,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Pucang Anom No. 58C - D, Pucang Sewu, Surabaya",https://pergikuliner.com/restaurants/surabaya/gh-corner-pucang-sewu,Pucang Sewu
332,Michuu Coffee, Kafe,4.2,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Puri Widya Kencana Blok K6 No. 11, Sambikerep, Surabaya",https://pergikuliner.com/restaurants/surabaya/michuu-coffee-sambikerep,Sambikerep
333,Aroma Makassar, Indonesia,4.4,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Pemuda, Genteng, Surabaya",https://pergikuliner.com/restaurants/surabaya/aroma-makassar-genteng,Genteng
334,Locaahands, Kafe,4.4,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Tunjungan No. 39, Genteng, Surabaya",https://pergikuliner.com/restaurants/surabaya/locaahands-genteng,Genteng
335,Boncafe, Barat,4.47,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/boncafe-wiyung,Wiyung
336,Shaburi Shabu Shabu, Jepang,4.8,Di atas Rp. 200.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/shaburi-shabu-shabu-wiyung,Wiyung
337,Galbisal Korean BBQ, Korea,4.07,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Manyar Kertoarjo No. 82, Manyar, Surabaya",https://pergikuliner.com/restaurants/surabaya/galbisal-korean-bbq-manyar,Manyar
338,Kopi Opa, Kafe,4.33,Di bawah Rp. 50.000 /orang,"Jl. Indragiri No. 9, Wonokromo, Surabaya",https://pergikuliner.com/restaurants/surabaya/kopi-opa-wonokromo,Wonokromo
339,X.O Zupri, China,4.7,Di bawah Rp. 50.000 /orang,"Jl. Lontar No. 9, Sambikerep, Surabaya",https://pergikuliner.com/restaurants/surabaya/x-o-zupri-sambikerep,Sambikerep
340,RamenYA!, Jepang,4.03,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Jend. A. Yani No. 16 - 18, Wonokromo, Surabaya",https://pergikuliner.com/restaurants/surabaya/ramenya-wonokromo,Wonokromo
341,Chatime, Bubble Tea,4.0,Di bawah Rp. 50.000 /orang,"Jl. Raya Laguna KJW Putih Tambak, Mulyorejo, Surabaya",https://pergikuliner.com/restaurants/surabaya/chatime-mulyorejo,Mulyorejo
342,Ludic, Kafe,4.08,Di bawah Rp. 50.000 /orang,"Jl. Tunjungan No. 30, Genteng, Surabaya",https://pergikuliner.com/restaurants/surabaya/ludic-genteng,Genteng
343,D'Plato, Kafe,4.08,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Waterfront WP 1 No. 35, Sambikerep, Surabaya",https://pergikuliner.com/restaurants/surabaya/d-plato-sambikerep,Sambikerep
344,Pisang Keju Mbak Ita, Indonesia,4.8,Di bawah Rp. 50.000 /orang,"Jl. Tegalsari No. 48, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/pisang-keju-mbak-ita-tegalsari,Tegalsari
345,Golden Monkey, Bubble Tea,4.8,Di bawah Rp. 50.000 /orang,"Jl. Darmo Indah Timur Blok SS No. 20 (Sebelah Ken 88 Supermarket), Tandes, Surabaya",https://pergikuliner.com/restaurants/surabaya/golden-monkey-tandes,Tandes
346,Pizza Hut,Genteng,4.1,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Taman Apsari No. 59, Genteng, Surabaya",https://pergikuliner.com/restaurants/surabaya/pizza-hut-genteng-2,
347,Mala Jia, China,4.8,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/mala-jia-wiyung,Wiyung
348,Quickly, Bubble Tea,4.8,Di bawah Rp. 50.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/quickly-wiyung-3,Wiyung
349,Xi Bo Ba, Bubble Tea,4.0,Di bawah Rp. 50.000 /orang,"Jl. Dr. Ir. H. Soekarno No. 104 (Sebelah BCA Merr), Rungkut, Surabaya",https://pergikuliner.com/restaurants/surabaya/xi-bo-ba-rungkut,Rungkut
350,Dunkin' Donuts, Donat,4.08,Di bawah Rp. 50.000 /orang,"Jl. Dharmahusada No. 113 - 114, Gubeng, Surabaya",https://pergikuliner.com/restaurants/surabaya/dunkin-donuts-gubeng,Gubeng
351,Pizza Romas & Coffee, Italia,4.2,Di bawah Rp. 50.000 /orang,"Jl. Dr. Ir. H. Soekarno No. 34, Rungkut, Surabaya",https://pergikuliner.com/restaurants/surabaya/pizza-romas-dan-coffee-rungkut,Rungkut
352,Cheskee, Kafe,4.2,Di bawah Rp. 50.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/cheskee-wiyung,Wiyung
353,Maison Feerie, Toko Kue dan Roti,4.04,Di bawah Rp. 50.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/maison-feerie-wiyung-2,Wiyung
354,Food Coma Beverages, Minuman,4.0,Di bawah Rp. 50.000 /orang,"Jl. Raya Kedung Baruk No. 26 - 28, Rungkut, Surabaya",https://pergikuliner.com/restaurants/surabaya/food-coma-beverages-rungkut,Rungkut
355,Depot H. Wachid Hasyim II, Indonesia,4.0,Di bawah Rp. 50.000 /orang,"Jl. Jemur Andayani No. 17, Wonocolo, Surabaya",https://pergikuliner.com/restaurants/surabaya/depot-h-wachid-hasyim-ii-wonocolo,Wonocolo
356,Asan Kwetiaw Medan, China,4.4,Di bawah Rp. 50.000 /orang,"Jl. Raya Manyar No. 86, Gubeng, Surabaya",https://pergikuliner.com/restaurants/surabaya/asan-kwetiaw-medan-gubeng,Gubeng
357,Warung Bu Kris, Indonesia,4.27,Di bawah Rp. 50.000 /orang,"Jl. Raya Menganti No. 232, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/warung-bu-kris-wiyung-2,Wiyung
358,Nasi Pecel Nyamleng, Indonesia,4.7,Di bawah Rp. 50.000 /orang,"Jl. Raya Kendangsari Industri No. 6, Tenggilis Mejoyo, Surabaya",https://pergikuliner.com/restaurants/surabaya/nasi-pecel-nyamleng-tenggilis-mejoyo,Tenggilis Mejoyo
359,Sushi Jin, Jepang,4.25,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Manyar Kertoarjo No. 98, Manyar, Surabaya",https://pergikuliner.com/restaurants/surabaya/sushi-jin-manyar,Manyar
360,Hanaichi Teppan House, Jepang,4.15,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/hanaichi-teppan-house-wiyung,Wiyung
361,Excelso, Kafe,4.15,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Dr. Ir. H. Soekarno No. 292, Rungkut, Surabaya",https://pergikuliner.com/restaurants/surabaya/excelso-rungkut,Rungkut
362,Mi Hotplet Singapore, Indonesia,4.04,Di bawah Rp. 50.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/mi-hotplet-singapore-tegalsari,Tegalsari
363,12TeaCoffee, Kafe,4.03,Di bawah Rp. 50.000 /orang,"Jl. Niaga Gapura, Sambikerep, Surabaya",https://pergikuliner.com/restaurants/surabaya/12teacoffee-sambikerep,Sambikerep
364,Macaroni Cuck, Snack,4.1,Di bawah Rp. 50.000 /orang,"Jl. Gubeng Airlangga II No. 9, Gubeng, Surabaya",https://pergikuliner.com/restaurants/surabaya/macaroni-cuck-gubeng,Gubeng
365,Chatime, Bubble Tea,4.25,Di bawah Rp. 50.000 /orang,"Jl. Jend. A. Yani No. 88, Gayungan, Surabaya",https://pergikuliner.com/restaurants/surabaya/chatime-gayungan,Gayungan
366,Kokumi, Minuman,4.1,Di bawah Rp. 50.000 /orang,"Jl. Raya Kalirungkut No. 25, Rungkut, Surabaya",https://pergikuliner.com/restaurants/surabaya/kokumi-rungkut,Rungkut
367,Gule Maryam Cak Sunar, Arab/Timur Tengah,4.1,Di bawah Rp. 50.000 /orang,"Jl. Pegirian (Samping Makam Botoputih), Ampel, Surabaya",https://pergikuliner.com/restaurants/surabaya/gule-maryam-cak-sunar-ampel-2,Ampel
368,Uplore, Kafe,4.33,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Kapuas No. 26, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/uplore-tegalsari,Tegalsari
369,Kapo Kafe Pojok, Kafe,4.6,Di bawah Rp. 50.000 /orang,"Jl. Niaga Gapura, Sambikerep, Surabaya",https://pergikuliner.com/restaurants/surabaya/kapo-kafe-pojok-sambikerep,Sambikerep
370,Bodaeng Thai, Thailand,4.08,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Embong Kenongo No. 62, Genteng, Surabaya",https://pergikuliner.com/restaurants/surabaya/bodaeng-thai-genteng,Genteng
371,MyoungDong Gyoza, Korea,4.08,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Niaga Gapura, Sambikerep, Surabaya",https://pergikuliner.com/restaurants/surabaya/myoungdong-gyoza-sambikerep,Sambikerep
372,Iki Japanese Resto, Jepang,4.27,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Mayjend Sungkono, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/iki-japanese-resto-dukuh-pakis,Dukuh Pakis
373,Gyu Kaku, Jepang,4.27,Di atas Rp. 200.000 /orang,"Jl. Dharmahusada Indah Timur No. 35 - 37, Mulyorejo, Surabaya",https://pergikuliner.com/restaurants/surabaya/gyu-kaku-mulyorejo,Mulyorejo
374,Nasi Kulit Malam Jumat, Indonesia,4.7,Di bawah Rp. 50.000 /orang,"Jl. Adityawarman No. 48 - 56, Wonokromo, Surabaya",https://pergikuliner.com/restaurants/surabaya/nasi-kulit-malam-jumat-wonokromo,Wonokromo
375,Bebek Rempah Asli Madura Rabek, Indonesia,4.04,Di bawah Rp. 50.000 /orang,"Jl. Dr. Ir. H. Soekarno Blok M No. 32, Rungkut, Surabaya",https://pergikuliner.com/restaurants/surabaya/bebek-rempah-asli-madura-rabek-rungkut,Rungkut
376,Carnis, Kafe,4.0,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Raya Gubeng No. 96, Gubeng, Surabaya",https://pergikuliner.com/restaurants/surabaya/carnis-gubeng,Gubeng
377,Peco Peco Sushi, Jepang,4.33,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Mayjend Yono Soewoyo, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/peco-peco-sushi-dukuh-pakis,Dukuh Pakis
378,Bang Oya Sop Kaki Kambing, Indonesia,4.6,Di bawah Rp. 50.000 /orang,"Jl. Arief Rahman Hakim No. 207, Sukolilo, Surabaya",https://pergikuliner.com/restaurants/surabaya/bang-oya-sop-kaki-kambing-sukolilo,Sukolilo
379,Kopte Kopi & Teh, Minuman,4.6,Di bawah Rp. 50.000 /orang,"Jl. Citraland Utama, Sambikerep, Surabaya",https://pergikuliner.com/restaurants/surabaya/kopte-kopi-dan-teh-sambikerep,Sambikerep
380,Yokoso Resto, Jepang,4.6,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Niaga Gapura, Sambikerep, Surabaya",https://pergikuliner.com/restaurants/surabaya/yokoso-resto-sambikerep,Sambikerep
381,The Pianoza," Barat,Italia",4.08,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Dr. Soetomo No. 130, Wonokromo, Surabaya",https://pergikuliner.com/restaurants/surabaya/the-pianoza-wonokromo,Wonokromo
382,Dum Dum Thai Drinks, Minuman,4.4,Di bawah Rp. 50.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/dum-dum-thai-drinks-wiyung,Wiyung
383,Starbucks,Gubeng,4.0,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Gubeng No. 33, Gubeng, Surabaya",https://pergikuliner.com/restaurants/surabaya/starbucks-gubeng-2,
384,The Coffee Bean & Tea Leaf, Kafe,4.15,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Dharmahusada Indah Timur No. 35 - 37, Mulyorejo, Surabaya",https://pergikuliner.com/restaurants/surabaya/the-coffee-bean-dan-tea-leaf-mulyorejo,Mulyorejo
385,Depot Mak Ay, Indonesia,4.2,Di bawah Rp. 50.000 /orang,"Jl. Kupang Jaya Kav. 3A No. 1 , Sukomanunggal, Surabaya",https://pergikuliner.com/restaurants/surabaya/depot-mak-ay-sukomanunggal,Sukomanunggal
386,Warung Pak Umar, Indonesia,4.33,Di bawah Rp. 50.000 /orang,"Jl. Mayjend Yono Soewoyo, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/warung-pak-umar-dukuh-pakis,Dukuh Pakis
387,Martabak & Terang Bulan Tegal, Indonesia,4.33,Di bawah Rp. 50.000 /orang,"Jl. Bendul Merisi No. 142, Wonokromo, Surabaya",https://pergikuliner.com/restaurants/surabaya/martabak-dan-terang-bulan-tegal-wonokromo,Wonokromo
388,Supresso Coffee Bar, Kafe,4.4,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Bukit Darmo Boulevard, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/supresso-coffee-bar-dukuh-pakis-2,Dukuh Pakis
389,Depot Karimun Jawa, Indoensia,4.27,Di bawah Rp. 50.000 /orang,"Jl. Karimun Jawa Blok 25 - 27 Kav. 7, Gubeng, Surabaya",https://pergikuliner.com/restaurants/surabaya/depot-karimun-jawa-gubeng,Gubeng
390,The Duck King, China,4.27,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/the-duck-king-tegalsari,Tegalsari
391,Rustic Market, Kafe,4.04,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Graha Natura, Sambikerep, Surabaya",https://pergikuliner.com/restaurants/surabaya/rustic-market-sambikerep,Sambikerep
392,Foremore, Kafe,4.08,Di bawah Rp. 50.000 /orang,"Jl. Dr. Ir. H. Soekarno No. 256, Sukolilo, Surabaya",https://pergikuliner.com/restaurants/surabaya/foremore-sukolilo,Sukolilo
393,Pizza Hut Delivery (PHD),Rungkut,4.0,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Rungkut Mapan Blok FA No. 1, Rungkut, Surabaya",https://pergikuliner.com/restaurants/surabaya/pizza-hut-delivery-phd-rungkut,
394,Mangkokku,Tenggilis Mejoyo,4.27,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Panjang Jiwo Permai, Tenggilis Mejoyo, Surabaya",https://pergikuliner.com/restaurants/surabaya/mangkokku-tenggilis-mejoyo,
395,Kin Kao Thai Street Food, Thailand,4.6,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Mayjend Yono Soewoyo, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/kin-kao-thai-street-food-dukuh-pakis,Dukuh Pakis
396,Bubur Ayam Bandung Pajajaran, Indonesia,4.2,Di bawah Rp. 50.000 /orang,"Jl. Bendul Merisi No. 22, Wonokromo, Surabaya",https://pergikuliner.com/restaurants/surabaya/bubur-ayam-bandung-pajajaran-wonokromo-2,Wonokromo
397,Foye Bistro, China,4.04,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Dharmahusada No. 122, Gubeng, Surabaya",https://pergikuliner.com/restaurants/surabaya/foye-bistro-gubeng,Gubeng
398,IKEA Ciputra World, Barat,4.6,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Mayjend Sungkono No. 87, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/ikea-ciputra-world-dukuh-pakis,Dukuh Pakis
399,Alba Ristorante, Italia,4.6,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Mayjend Sungkono No. 87, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/alba-ristorante-dukuh-pakis,Dukuh Pakis
400,La Ricchi Ice Cream, Es Krim,4.6,Di bawah Rp. 50.000 /orang,"Jl. Indragiri No. 12 - 18, Wonokromo, Surabaya",https://pergikuliner.com/restaurants/surabaya/la-ricchi-ice-cream-wonokromo,Wonokromo
401,Bubur Ayam Bang Udin, Indonesia,4.6,Di bawah Rp. 50.000 /orang,"Jl. Lontar, Sambikerep, Surabaya",https://pergikuliner.com/restaurants/surabaya/bubur-ayam-bang-udin-sambikerep,Sambikerep
402,Boost, Minuman,4.1,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/boost-wiyung,Wiyung
403,Asgar Pangsit Mie Ayam, Indonesia,4.15,Di bawah Rp. 50.000 /orang,"Jl. Raya Tenggilis Mejoyo Blok AJ No. 5, Tenggilis Mejoyo, Surabaya",https://pergikuliner.com/restaurants/surabaya/asgar-pangsit-mie-ayam-tenggilis-mejoyo,Tenggilis Mejoyo
404,Kita Kita Food Studio, Italia,4.1,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Jemursari No. 220, Tenggilis Mejoyo, Surabaya",https://pergikuliner.com/restaurants/surabaya/kita-kita-food-studio-tenggilis-mejoyo,Tenggilis Mejoyo
405,Loure Gelateria, Es Krim,4.15,Di bawah Rp. 50.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/loure-gelateria-wiyung,Wiyung
406,Shinecake, Toko Roti dan Kue,4.7,Di bawah Rp. 50.000 /orang,"Jl. Raya Tenggilis No. 108, Tenggilis Mejoyo, Surabaya",https://pergikuliner.com/restaurants/surabaya/shinecake-tenggilis-mejoyo,Tenggilis Mejoyo
407,Soto Ayam & Ayam Kremes Suroboyo Rek, Indonesia,4.2,Di bawah Rp. 50.000 /orang,"Jl. Gubeng Kertajaya VII C No. 56, Gubeng, Surabaya",https://pergikuliner.com/restaurants/surabaya/soto-ayam-dan-ayam-kremes-suroboyo-rek-gubeng,Gubeng
408,Shihlin, Snack,4.2,Di bawah Rp. 50.000 /orang,"Jl. Dharmahusada Indah Timur No. 35 - 37, Mulyorejo, Surabaya",https://pergikuliner.com/restaurants/surabaya/shihlin-mulyorejo,Mulyorejo
409,Pizza Hut Ristorante, Italia,4.0,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Darmo No. 79A, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/pizza-hut-ristorante-tegalsari-2,Tegalsari
410,Bakso Ronggolawe, Indonesia,4.1,Di bawah Rp. 50.000 /orang,"Jl. Bulak Banteng Lor No. 4, Kenjeran, Surabaya",https://pergikuliner.com/restaurants/surabaya/bakso-ronggolawe-kenjeran,Kenjeran
411,Soto Ayam Cak To, Indonesia,4.1,Di bawah Rp. 50.000 /orang,"Jl. Undaan Wetan, Genteng, Surabaya",https://pergikuliner.com/restaurants/surabaya/soto-ayam-cak-to-genteng-3,Genteng
412,Bebek Kondang, Indonesia,4.05,Di bawah Rp. 50.000 /orang,"Jl. Klampis Jaya No. 47, Klampis, Surabaya",https://pergikuliner.com/restaurants/surabaya/bebek-kondang-klampis,Klampis
413,Kikil Sapi Lodoyo, Indonesia,4.27,Di bawah Rp. 50.000 /orang,"Jl. Ngagel Jaya Selatan No. 18, Ngagel, Surabaya",https://pergikuliner.com/restaurants/surabaya/kikil-sapi-lodoyo-ngagel,Ngagel
414,Kabobs, Arab/Timur Tengah,4.33,Di bawah Rp. 50.000 /orang,"Jl. Jend. A. Yani No. 16 - 18, Wonokromo, Surabaya",https://pergikuliner.com/restaurants/surabaya/kabobs-wonokromo,Wonokromo
415,Depot Trio M, Indonesia,4.6,Di bawah Rp. 50.000 /orang,"Jl. Bratang Gede III No. 83C, Wonokromo, Surabaya",https://pergikuliner.com/restaurants/surabaya/depot-trio-m-wonokromo,Wonokromo
416,Wok Noodle, Indonesia,4.6,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/wok-noodle-wiyung,Wiyung
417,Locus Cafe & Pastry, Kafe,4.1,Di bawah Rp. 50.000 /orang,"Jl. Sidosermo Indah No. 6, Wonocolo, Surabaya",https://pergikuliner.com/restaurants/surabaya/locus-cafe-dan-pastry-wonocolo,Wonocolo
418,Pizza Hut,Rungkut,4.05,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Dr. Ir. H. Soekarno, Rungkut, Surabaya",https://pergikuliner.com/restaurants/surabaya/pizza-hut-rungkut,
419,Mie Yabi Hot, Indonesia,4.0,Di bawah Rp. 50.000 /orang,"Jl. Ploso Baru No. 16, Tambaksari, Surabaya",https://pergikuliner.com/restaurants/surabaya/mie-yabi-hot-tambaksari,Tambaksari
420,Kopi Kenangan, Minuman,4.05,Di bawah Rp. 50.000 /orang,"Jl. Jend. A. Yani No. 88, Gayungan, Surabaya",https://pergikuliner.com/restaurants/surabaya/kopi-kenangan-gayungan,Gayungan
421,Rou Asian Meatery, China,4.1,Di bawah Rp. 50.000 /orang,"Jl. Dharmahusada Indah Timur Blok RR No. 19, Mulyorejo, Surabaya",https://pergikuliner.com/restaurants/surabaya/rou-asian-meatery-mulyorejo,Mulyorejo
422,Serlok Kopi, Kafe,4.1,Di bawah Rp. 50.000 /orang,"Jl. Kertajaya No. 67, Kertajaya, Surabaya",https://pergikuliner.com/restaurants/surabaya/serlok-kopi-kertajaya,Kertajaya
423,Gubug Makan Mang Engking, Indonesia,4.6,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Stasiun Gubeng, Gubeng, Surabaya",https://pergikuliner.com/restaurants/surabaya/gubug-makan-mang-engking-gubeng,Gubeng
424,Ayam Tulang Lunak Malioboro, Indonesia,4.04,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Kendangsari No. 62, Tenggilis Mejoyo, Surabaya",https://pergikuliner.com/restaurants/surabaya/ayam-tulang-lunak-malioboro-tenggilis-mejoyo,Tenggilis Mejoyo
425,Kedai 27, Kafe,4.05,Di bawah Rp. 50.000 /orang,"Jl. Jend. A. Yani No. 288, Gayungan, Surabaya",https://pergikuliner.com/restaurants/surabaya/kedai-27-gayungan,Gayungan
426,Magal Korean BBQ, Korea,4.05,Di atas Rp. 200.000 /orang,"Jl. Dharmahusada Indah Timur No. 35 - 37, Mulyorejo, Surabaya",https://pergikuliner.com/restaurants/surabaya/magal-korean-bbq-mulyorejo,Mulyorejo
427,Tokyo Resto, China,4.1,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Nginden No. 68, Gubeng, Surabaya",https://pergikuliner.com/restaurants/surabaya/tokyo-resto-gubeng-1,Gubeng
